2 Martin Luther King Jr Blvd,Macon,Macon-Bibb County,"32.838514,-83.620483",14900
300 Coliseum Dr,Macon,Macon-Bibb County,"32.843556,-83.617389",27700
888 Emery Hwy,Macon,Macon-Bibb County,"32.848229,-83.609432",24600
2334 Emery Hwy,Macon,Macon-Bibb County,"32.842430,-83.586884",17000
2782 Emery Rd,Macon,Macon-Bibb County,"32.840174,-83.577663",12500
3226 Jeffersonville Rd,Macon,Macon-Bibb County,"32.842167,-83.565608",13900
5161 Eisenhower Pkwy,Macon,Macon-Bibb County,"32.807291,-83.729766",16000
4915 Eisenhower Pkwy,Macon,Macon-Bibb County,"32.813785,-83.717947",18200
3800 Eisenhower Pkwy,Macon,Macon-Bibb County,"32.815970,-83.702780",19900
2560 Eisenhower Pkwy,Macon,Macon-Bibb County,"32.815210,-83.686970",21700
1472 Eisenhower Pkwy,Macon,Macon-Bibb County,"32.814462,-83.666580",14100
1085 Eisenhower Pkwy,Macon,Macon-Bibb County,"32.814238,-83.658443",21700
916 Eisenhower Pkwy,Macon,Macon-Bibb County,"32.813973,-83.652629",14500
2205 Broadway,Macon,Macon-Bibb County,"32.815495,-83.640029",13000
25 2nd St,Macon,Macon-Bibb County,"32.850028,-83.620937",10200
6238 Hawkinsville Rd,Macon,Macon-Bibb County,"32.736130,-83.655660",28500
5632 Hawkinsville Rd,Macon,Macon-Bibb County,"32.748427,-83.656418",29000
4529 Broadway,Macon,Macon-Bibb County,"32.778960,-83.655763",10800
4171 Broadway,Macon,Macon-Bibb County,"32.789899,-83.651002",10100
2803 Broadway,Macon,Macon-Bibb County,"32.809996,-83.640254",13800
869 Shurling Dr,Macon,Macon-Bibb County,"32.859595,-83.609665",23600
1517 Shurling Dr,Macon,Macon-Bibb County,"32.860508,-83.596272",21700
2428 Shurling Dr,Macon,Macon-Bibb County,"32.865768,-83.580858",12000
3427 Millerfield Rd,Macon,Macon-Bibb County,"32.870616,-83.561862",13100
5486 Thomaston Rd,Macon,Macon-Bibb County,"32.833920,-83.740543",20800
4842 Mercer University Dr,Macon,Macon-Bibb County,"32.828503,-83.721870",21700
3888 Mercer University Dr,Macon,Macon-Bibb County,"32.823742,-83.702469",22400
3490 Mercer University Dr,Macon,Macon-Bibb County,"32.820480,-83.691880",29700
1599 Dexter Ave,Macon,Macon-Bibb County,"32.824368,-83.680610",25500
4881 Riverside Dr,Macon,Macon-Bibb County,"32.925307,-83.711765",18300
4380 Riverside Dr,Macon,Macon-Bibb County,"32.912328,-83.701334",12400
3934 Riverside Dr,Macon,Macon-Bibb County,"32.904540,-83.689713",16100
3576 Riverside Dr,Macon,Macon-Bibb County,"32.898100,-83.683205",15600
3085 Riverside Dr,Macon,Macon-Bibb County,"32.889731,-83.676236",25100
2801 Riverside Dr,Macon,Macon-Bibb County,"32.878692,-83.667072",25600
2158 Riverside Dr,Macon,Macon-Bibb County,"32.859468,-83.647997",15400
1072 Riverside Dr,Macon,Macon-Bibb County,"32.845377,-83.633660",18000
