Location,AADT (2018)
"36.429989, -82.31196",25280
"36.504565, -82.567466",28394
"36.594332, -82.188698",24497
"36.537855, -82.526818",12661
"36.5583, -82.557088",11034
"36.533017, -82.502962",31346
"36.523746, -82.306343",18966
"36.430855, -82.56649",36531
"36.577983, -86.499837",10740
"36.564595, -86.510769",15150
"36.35916, -86.712791",11033
"36.38045, -86.619823",11855
"36.361094, -86.610513",15176
"36.29303, -86.621634",12490
"36.305597, -86.612832",35037
"36.377207, -86.470621",31510
"36.387399, -86.46908",19380
"36.389909, -86.439952",16076
"36.411758, -86.411007",12894
"36.550043, -86.236784",12033
"36.472358, -86.329262",10243
"36.390362, -86.428553",12574
"36.387643, -86.449024",14807
"36.388388, -86.455394",17290
"36.390242, -86.449098",19615
"36.302824, -86.629265",22967
"36.307805, -86.633534",14440
"36.395878, -86.441281",15119
"36.334382, -86.547145",21216
"36.303287, -86.602804",10915
"36.298165, -86.614467",10449
"36.301139, -86.640879",10457
"36.34458, -86.717465",20327
"36.577199, -86.512491",13294
"36.599947, -86.533529",10858
"36.380333, -86.48026",11611
"36.398283, -86.342907",10805
"36.327754, -86.560299",18245
"36.327409, -86.619268",28487
"36.308658, -86.660519",28850
"36.579924, -86.515719",19337
"36.385498, -86.454296",25630
"36.367624, -86.458999",29616
"36.38145, -86.470124",30022
"36.3931, -86.478935",21246
"36.412292, -86.471946",15481
"36.305309, -86.652132",23670
"36.374468, -86.414743",10432
"36.577376, -86.528704",11507
"36.298706, -86.62203",10002
"36.301913, -86.631941",10260
"36.303106, -86.65157",10519
"36.315124, -86.604186",17705
"36.308677, -86.619914",10233
"36.310492, -86.599819",22225
"36.310642, -86.665839",13150
"36.340399, -86.718413",20014
"36.309172, -86.657015",22452
"36.327973, -86.562622",17447
"36.332594, -86.562397",12335
"36.382824, -86.496049",37968
"36.478282, -86.477274",12520
"36.522533, -86.50994",13181
"36.33353, -86.619412",19481
"35.445237, -89.792168",11584
"35.439906, -89.794428",18128
"35.435924, -89.774918",10768
"35.492505, -89.725336",12737
"35.549535, -89.658318",19465
"35.48035, -89.741784",20413
"35.534057, -89.677463",14999
"35.569416, -89.646756",20218
"35.394062, -89.852146",25959
"35.627805, -89.616371",12361
"35.588407, -89.63621",12743
"35.611642, -89.628276",12910
"36.400358, -86.165743",10294
"36.13921, -82.430252",18277
"36.158976, -82.407585",19855
"36.172305, -82.388364",22523
"36.242449, -82.326864",22183
"36.106515, -82.461052",10477
"36.196124, -82.367286",21653
"36.20032, -83.879879",12904
"36.243454, -83.812791",11698
"36.260105, -83.781488",11046
"35.705953, -85.781759",10733
"35.609666, -85.905673",11230
"35.697272, -85.75413",14333
"35.70108, -85.785432",21485
"35.697857, -85.798623",20624
"35.698151, -85.743031",16464
"35.695621, -85.810638",12941
"35.692226, -85.777619",15790
"35.699918, -85.772642",18312
"35.643439, -85.829807",13460
"35.707424, -85.731687",11920
"35.683183, -85.774182",12220
"35.657065, -85.81442",12875
"35.691187, -85.805986",15117
"35.697202, -85.779958",11852
"36.432733, -82.446993",13167
"36.382897, -82.421943",16761
"36.359971, -82.387472",17333
"36.364863, -82.381045",28872
"36.358995, -82.375684",10723
"36.309158, -82.330595",12898
"36.305813, -82.340636",12310
"36.305334, -82.345237",25310
"36.290472, -82.367865",10740
"36.310564, -82.39154",28786
"36.332391, -82.370904",24888
"36.304801, -82.450699",24285
"36.231164, -82.642404",11836
"36.240206, -82.62181",12606
"36.291117, -82.50586",18746
"36.315772, -82.370755",23159
"36.317471, -82.366441",17322
"36.298125, -82.473239",28798
"36.37021, -82.430051",20512
"36.354722, -82.38235",23750
"36.404164, -82.478904",14476
"36.40818, -82.475965",19322
"36.415614, -82.587043",30461
"36.338893, -82.381723",16089
"36.30355, -82.357868",22490
"36.309355, -82.365468",16259
"36.327732, -82.463095",10111
"36.309898, -82.361625",17059
"36.317478, -82.391468",35312
"36.304319, -82.383905",30792
"36.336186, -82.404961",27137
"36.35902, -82.392971",17116
"36.422895, -82.464003",11731
"36.317429, -82.345952",10117
"36.362949, -82.38881",17351
"36.296238, -88.746159",10806
"36.345032, -88.872767",12987
"36.336542, -88.872357",11478
"36.35003, -88.878522",11820
"36.003678, -85.503481",16652
"35.897924, -85.473245",11931
"35.924995, -85.460738",11523
"35.935869, -85.473997",10005
"35.926731, -85.467492",16082
"35.913097, -85.477254",10900
"35.928036, -85.486571",16072
"35.947678, -85.483327",15954
"35.934868, -85.481882",14042
"36.038143, -85.507824",15214
"35.9864, -85.499813",17856
"36.029572, -86.783294",12416
"36.03109, -86.789962",24803
"36.026263, -86.896939",12230
"35.989, -86.890664",19370
"35.994135, -87.086664",13214
"35.947972, -86.881681",18780
"35.9366, -86.859435",16117
"35.918667, -86.858987",19160
"35.900236, -86.875952",21719
"35.860745, -86.842582",15900
"35.901102, -86.78675",15610
"35.908157, -86.805956",23373
"35.970627, -86.822317",20910
"35.998428, -86.8042",21150
"35.994985, -86.772822",24155
"35.950229, -86.763278",12230
"35.935841, -86.774842",12268
"35.956861, -86.671757",13619
"35.856639, -86.666663",10987
"35.849496, -86.65988",11661
"35.803661, -86.903133",22396
"35.930676, -86.918304",13267
"35.927756, -86.865636",20747
"35.928586, -86.875019",12274
"35.925117, -86.88257",17647
"35.96529, -86.797017",21208
"35.83999, -86.882204",14690
"35.916288, -86.837236",32077
"35.976784, -86.82601",20630
"35.973336, -87.128438",16831
"35.810427, -86.662444",10612
"35.924421, -86.870619",11321
"35.924925, -86.873828",19768
"35.924561, -86.872112",12570
"35.982039, -86.777262",12822
"36.014498, -86.81019",16588
"35.908286, -86.87936",11272
"35.98675, -86.709048",13637
"35.961323, -86.884936",17973
"36.011254, -86.802008",23450
"35.893674, -86.863247",14253
"35.901247, -86.845455",26334
"35.923858, -86.843057",15919
"35.945259, -86.84778",25987
"35.945881, -86.87256",19070
"35.946073, -86.823648",31176
"35.907465, -86.835267",19684
"35.960519, -86.840941",12190
"35.906744, -86.824482",12083
"35.917206, -86.828265",15146
"35.952578, -86.817994",32572
"36.033334, -86.778449",21268
"36.036368, -86.802163",10444
"36.035351, -86.807342",18340
"36.009516, -86.888076",20088
"35.977452, -86.774247",12057
"35.996168, -86.785998",31670
"35.965947, -86.803842",21937
"35.913857, -86.818448",23415
"35.927657, -86.82962",17083
"35.891432, -86.850121",11114
"35.875562, -86.882338",16663
"35.821337, -86.848189",31817
"35.947649, -87.196897",14755
"35.955962, -86.803937",22568
"35.956205, -86.834742",10857
"35.945673, -86.819482",21426
"35.909309, -87.159769",17819
"35.822085, -86.942476",21155
"35.81623, -87.024868",18177
"35.935934, -86.826373",15723
"35.780865, -86.879032",10241
"35.782471, -86.900271",10661
"35.945883, -86.808847",18240
"36.328584, -86.436417",21281
"36.234095, -86.530165",10712
"36.225037, -86.514386",23366
"36.163264, -86.51496",21108
"36.2347, -86.448591",15991
"36.241075, -86.432025",22090
"36.214589, -86.325553",20290
"36.228581, -86.290024",10365
"36.193255, -86.411542",29482
"36.185042, -86.297788",22693
"36.219657, -86.330666",10522
"36.212087, -86.287439",17710
"36.211443, -86.282587",16602
"36.171779, -86.30343",10511
"36.176492, -86.259736",11217
"36.23467, -86.422936",15791
"36.1706, -86.126084",36268
"36.1845, -86.511324",33467
"36.143399, -86.51661",19969
"36.21125, -86.290588",13212
"36.219896, -86.34059",23085
"36.205191, -86.291548",14315
"36.214049, -86.290087",13054
"36.21251, -86.291413",13645
"36.216115, -86.304751",21180
"36.201885, -86.27584",14555
"36.228299, -86.427183",27773
"36.231024, -86.503943",21366
"36.231026, -86.524034",28749
"36.191257, -86.271802",16900
"36.218189, -86.576494",24576
"36.220026, -86.319851",15205
"36.235626, -86.313491",12060
"36.15131, -86.363475",19966
"36.104179, -86.411522",37381
"36.181039, -86.40488",36280
"36.160457, -86.399708",18370
"36.188683, -86.326195",26024
"36.203602, -86.326796",24358
"36.207754, -86.290876",10039
"36.180901, -86.326028",13601
"36.163983, -86.51278",12831
