Location,AADT (2018)
"36.069659, -86.694772",16663
"36.160294, -86.794606",39129
"36.15719, -86.793107",26692
"36.152957, -86.789939",20933
"36.045991, -86.601214",10425
"36.084284, -86.56528",11652
"36.267777, -86.690064",19078
"36.288584, -86.693318",29784
"36.191738, -86.817822",19815
"36.154499, -86.626133",26442
"36.09888, -86.924748",25734
"36.144339, -86.626375",22310
"36.090571, -86.81612",12980
"36.087694, -86.781188",13490
"36.153098, -86.822097",25558
"36.208797, -86.603656",14939
"36.134241, -86.778095",37298
"36.133373, -86.769784",14240
"36.187387, -86.822111",17646
"36.161369, -86.849066",10045
"36.077068, -86.634762",12886
"36.220659, -86.597575",12391
"36.074491, -86.731296",14106
"36.139753, -86.735152",22350
"36.205463, -86.76242",16075
"36.24625, -86.735699",20516
"36.184352, -86.754766",12558
"36.162412, -86.803156",12625
"36.157556, -86.786455",13879
"36.137321, -86.788227",16935
"36.135947, -86.791443",25556
"36.112885, -86.798",16366
"36.039077, -86.735158",38515
"36.08913, -86.830134",15421
"36.164446, -86.785095",11730
"36.150793, -86.784367",13330
"36.15765, -86.791353",16679
"36.159254, -86.818687",15067
"36.185129, -86.816318",12897
"36.168276, -86.815546",12689
"36.194926, -86.619145",28128
"36.087997, -86.69094",36619
"36.153975, -86.735592",20697
"36.040168, -86.962121",15834
"36.110167, -86.781465",18204
"36.20072, -86.618203",30516
"36.096519, -86.638672",12438
"36.2508, -86.689709",10676
"36.11431, -86.814589",11238
"36.140353, -86.746451",11383
"36.143985, -86.721371",14079
"36.073923, -86.682198",16233
"36.046699, -86.656896",37399
"36.102495, -86.759933",21617
"36.137407, -86.671189",21129
"36.061346, -86.624741",29796
"36.129018, -86.714126",28491
"36.14887, -86.864272",22517
"36.10199, -86.763821",10881
"36.099748, -86.676615",22648
"36.036499, -86.743488",17971
"36.061607, -86.907207",23297
"36.143693, -86.732842",11986
"36.124026, -86.665386",34760
"36.305189, -86.693426",22670
"36.321125, -86.701891",19070
"36.065977, -86.917148",15824
"36.078778, -86.951995",27140
"36.091772, -86.625097",19096
"36.172396, -86.765075",19036
"36.193152, -86.749569",15607
"36.078691, -86.758658",17894
"36.082214, -86.7582",15584
"36.083906, -86.761657",12935
"36.056609, -86.672428",11500
"36.042881, -86.649945",25452
"36.069839, -86.686129",28864
"36.113011, -86.836963",10323
"36.116128, -86.798376",11027
"36.230907, -86.750037",11174
"36.217626, -86.744677",14387
"36.17313, -86.606111",31221
"36.322577, -86.710319",19464
"36.228303, -86.857119",38267
"35.994945, -86.692034",13881
"36.104315, -86.756064",10471
"36.07265, -86.733719",20373
"36.065093, -86.624588",11322
"36.045039, -86.649026",21843
"36.068697, -86.677145",12530
"36.032902, -86.77228",17532
"36.106538, -86.820913",14813
"36.062094, -86.67652",11355
"36.078928, -86.72134",10572
"36.16045, -86.769615",29104
"36.135853, -86.760256",18810
"36.159277, -86.791345",10646
"36.17416, -86.604628",13549
"36.174101, -86.608728",11370
"36.07468, -86.946023",13627
"36.164022, -86.698975",23571
"36.14294, -86.815674",17842
"36.160095, -86.781405",18959
"36.332246, -86.716653",18674
"36.122403, -86.705665",23442
"35.819218, -88.158677",31586
"35.648161, -88.126206",10862
"35.960432, -85.839061",12054
"35.957402, -85.812445",14976
"35.955063, -85.811907",12736
"35.971533, -85.859471",10670
"35.957697, -85.819021",14282
"36.086475, -87.414081",12260
"36.078409, -87.356795",15885
"36.076413, -87.373476",13903
"36.086029, -87.389494",12703
"36.072212, -87.37465",10710
"36.009216, -87.386409",36908
"36.055055, -87.369284",22810
"36.026863, -87.343911",29018
"36.070198, -87.380452",26554
"36.074689, -87.376461",17976
"36.080304, -87.402605",10077
"36.061768, -87.377816",16250
"35.993063, -87.246734",11090
"36.0231, -87.225219",36110
"36.064787, -87.393446",12202
"35.997804, -87.323537",13387
"36.047426, -89.40623",16564
"36.060932, -89.395357",26327
"36.057336, -89.387846",17161
"36.054558, -89.373369",15858
"36.055298, -89.359646",12639
"36.019991, -89.404567",10977
"36.002433, -89.397525",13597
"35.947158, -89.307698",11004
"35.97765, -89.392747",11903
"36.037659, -89.411094",16194
"36.069333, -89.431202",11179
"36.083646, -89.542906",10659
"36.117331, -89.285303",13218
"36.098398, -89.602798",11240
"36.01874, -89.340852",11727
"36.058547, -89.339236",12551
"36.035348, -89.39264",10821
"36.067943, -89.344458",11797
"36.068586, -89.354342",14403
"35.241237, -89.368973",13798
"35.229201, -89.500504",19881
"35.229022, -89.529914",23805
"35.00148, -89.626136",15798
"35.359406, -89.495539",35530
"35.218972, -89.620677",23260
"35.255126, -86.121202",13817
"35.207123, -86.094163",22709
"35.197, -86.097889",14673
"35.294828, -86.149221",11789
"35.188631, -86.109258",15872
"35.89123, -88.748787",19706
"35.795235, -88.785494",16680
"35.975027, -88.929686",12224
"35.915519, -88.75345",19828
"35.917985, -88.755957",15083
"35.836803, -88.904966",15527
"35.8663, -88.922313",10567
"35.829268, -88.886966",11655
"35.816722, -88.891136",10930
"35.921577, -88.75959",11976
"35.811231, -88.77863",13692
"35.910124, -88.752769",23018
"35.202144, -87.054868",13681
"35.000228, -86.877506",21450
"35.208215, -87.062274",10094
"35.172472, -86.877878",23883
"35.210584, -86.879245",26829
"35.037824, -86.87902",22695
"35.203727, -87.029052",10982
"35.199016, -87.038915",15542
"35.196559, -87.041108",10818
"36.144076, -83.712961",10714
"36.344275, -83.326196",13120
"36.304127, -83.291842",17170
"36.33138, -83.282281",17248
"36.343474, -83.26995",12656
"36.222941, -83.034114",19678
"36.210502, -83.015235",15132
"36.182244, -82.746831",19927
"36.178977, -82.777024",33882
"36.140673, -82.849239",11932
"36.177204, -82.792247",26743
"36.173782, -82.836932",33266
"36.169245, -82.856112",19945
"36.158633, -82.850586",13934
"36.170718, -82.817826",12969
"36.169276, -82.813721",11124
"36.179858, -82.813028",30448
"36.172414, -82.853139",26555
"36.218448, -83.055786",35320
"36.246006, -82.977648",28805
"36.306451, -82.863822",29096
"36.404114, -82.635626",31195
"36.345627, -82.782559",30335
"36.185151, -82.767308",23703
"36.191439, -82.98725",17598
"36.172633, -82.899707",18120
"36.165313, -82.814846",11176
"36.228777, -82.666385",12950
"36.17235, -82.797716",16482
"36.168333, -82.809577",14762
"35.297221, -85.900507",38664
"36.232418, -83.245516",13676
"36.235127, -83.283805",16091
"36.206837, -83.318373",20546
"36.159862, -83.418352",24153
"36.193114, -83.270701",22746
"36.196306, -83.279312",12433
"36.226575, -83.265305",15438
"36.240305, -83.281534",10096
"36.219147, -83.295641",11806
"36.22296, -83.26001",29028
"36.205708, -83.305312",16361
"36.182284, -83.195302",36416
"36.153412, -83.241828",29410
"36.172263, -83.229205",10179
"36.141723, -83.278326",23911
"36.253054, -83.204959",11610
"36.185214, -83.272509",18792
"36.20781, -83.264934",23445
"36.225752, -83.258112",23073
"36.239657, -83.262975",25384
"36.260501, -83.283962",23577
"36.256435, -83.281216",15413
"36.202164, -83.315455",20345
"36.231497, -83.243779",21394
"36.174278, -83.388344",14060
