place_id,name
ChIJ59tYNlA79YgRAVMcRabIJdA,PODS Moving & Storage
ChIJW9_LjJQ_9YgRsf6zWwCbL7s,Extra Space Storage
ChIJ1QaJ28xB9YgRtmiDfpl2rzA,Prime Storage
ChIJm6x1eL5q9YgRDYGOXezN7q4,SmartShop Self Storage
ChIJ1UCXIJRt9YgRuc1POcNHusM,Prime Storage
ChIJHfbK8bor8IgRG0F8BhcUaRY,Storage Solutions
ChIJJfY0-fEr8IgRGMYgJIXwUFo,Star Storage
ChIJAVIOpJsr8IgRvey_y-s2QEU,Security Self Storage
ChIJP4kgPXor8IgRqpb05U3vpBA,Ark Self-Storage Group Llc
ChIJoTff6H8r8IgRfrRQLZlvx-8,Ark Self Storage
ChIJQfqq1G8s8IgRv71EKOPHqXk,A+ Safe Storage LLC
ChIJ1xY-mJXo7YgR5JynMGzjMbY,Downtown Mini Storage
ChIJ434gZGHo7YgR5H_EkBal4kY,Tallokas Mini Storage
ChIJYSoBasbo7YgRChw_Lo4h0rY,Tifton Highway Storage
ChIJ90HSNsTo7YgRIwbCRThUpiY,Moultrie Cold Storage
ChIJw6dK2Hrp7YgRZHPgcII5YMs,Almands Storage
ChIJd_8r8BXT-YgRV824yKJG18M,Storage Units
ChIJbetiQIPS-YgR13u-RP7qjks,Augusta Self Storage
ChIJlW5PSBDT-YgR6wIr3r4O4rI,Storage Sense
ChIJUe7BVx3T-YgRN36f3kB2wDQ,SecurCare Self Storage
ChIJKQh6WJrS-YgRS3AfWOBJBfk,SecurCare Self Storage
ChIJ09_U5k7T-YgRmXGGV_SsDJ4,Storage Sense
ChIJL1nflAvW-YgRyVVqMB-Dvo0,Storage Rentals of America
ChIJW__jdUPV-YgRKwsCsHCO4ME,Storage Sense
ChIJPaX35ljX-YgRBjU0QzCRwpY,Blue Sky Self Storage
ChIJeeoj4z7W-YgRpMdPUoJaNpo,Blue Sky Self Storage - Fort Gordon
ChIJo_bwCpPV-YgRQ8g3PObY4QA,Gateway Storage LLC
ChIJhdwVG3TU-YgRBF3uKk515PM,Storage Sense
ChIJl75suovT-YgRFO2clllx1Kg,Storage Sense
ChIJzWDsm73T-YgRZb8bBT4OXRw,Wheeler Road Self Storage
ChIJX_oqikLT-YgRnXsp6mISdaM,CubeSmart Self Storage
ChIJRYgwlAnU-YgRTUF4h8OOY9Y,Storage Sense
ChIJnRDThBTV-YgR-JtwRPN-PxY,Storage Sense - Grovetown
ChIJxbtu44fH9IgRX5tPHxTufqo,"Coweta RV Storage -- Unit 38, Gate Code 8284"
ChIJJ8K1IxbI9IgREizHSdaU20c,10 Federal Self Storage - 554 Corinth Rd
ChIJp8rLRpDI9IgROw0H8OCaAzQ,Greison Storage Mart
ChIJCYVNg5HI9IgRHCIj_C9lkcs,Annex Storage & U-Haul
ChIJ8-8TWTDJ9IgRpu4W1WrOOps,Ms. Lillian's Self-Storage
